"entered.date","enterer","date","time","observer","plant","sex","exclosure","position","pre","m1","m2.early","m2.late","f.early","f.late","post","abort","imm","notes","projected","osr.0.f","osr.1.f","osr.2.f","osr.3.f","osr.4.f","osr.5.f","osr.patch.f","osr.0.m","osr.1.m","osr.2.m","osr.3.m","osr.4.m","osr.5.m","osr.patch.m","size.0.f","size.1.f","size.2.f","size.3.f","size.4.f","size.5.f","size.patch.f","size.0.m","size.1.m","size.2.m","size.3.m","size.4.m","size.5.m","size.patch.m"
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A533","H",2,18,0,0,0,0,2,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,0.5,0.364963503649635,0.489236790606654,0.432900432900433,0,NA,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,2,1.37,5.11,2.31,0.31,0,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A2309","H",2,19,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.527426160337553,0.401069518716578,0.5,0,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,0,4.74,3.74,2,0.62,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A1137","H",2,20,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0.364963503649635,0.407608695652174,0.5720823798627,0,NA,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,2.74,3.68,4.37,0.31,0,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A2198","H",2,21,0,0,0,0,1,0,1,0,0,"didn't distinguish early from late ♂2 and ♀",0,0.364963503649635,0.490998363338789,NA,0.381679389312977,0.5,0,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,1.37,6.11,0,1.31,2,0.31,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A3295","H",2,22,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,0.72992700729927,0.445103857566766,0.364963503649635,0.5,0.381679389312977,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,0,1.37,3.37,2.74,1,2.62,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A540","H",2,23,0,0,0,0,2,0,2,0,0,"didn't distinguish early from late ♂2 and ♀",0,0.364963503649635,0.364963503649635,0.593471810089021,0.381679389312977,0.5,0,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,2.74,1.37,3.37,1.31,2,0.31,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"15:19:00","MA","A638","H",2,24,0,0,1,0,0,0,1,0,0,"didn't distinguish early from late ♂2 and ♀",0,0.72992700729927,0.364963503649635,0.421940928270042,NA,0.381679389312977,0.432900432900433,0.45045045045045,NA,NA,NA,NA,NA,NA,NA,1.37,1.37,4.74,0,1.31,2.31,11.1,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A1408","H",3,1,0,0,0,0,0,0,0,1,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,NA,0.632911392405063,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2.37,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A472","H",3,2,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,NA,0.5,0.72992700729927,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1.37,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","C69","H",3,3,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,0.72992700729927,0.5,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.37,1,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A2272","H",3,4,0,0,0,0,0,0,0,1,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,0.5,0.72992700729927,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1.37,0,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A137","H",3,5,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,NA,NA,0.5,0.72992700729927,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1.37,2.37,0,0,0,0,0,0,0
"2014-07-07","KME",2014-06-30,"14:55:00","AGB","A2148","H",3,6,0,0,0,0,0,0,0,0,0,"didn't distinguish early from late ♂2 and ♀",0,NA,NA,0.72992700729927,0.5,NA,NA,0.632911392405063,NA,NA,NA,NA,NA,NA,NA,0,0,1.37,1,0,0,2.37,0,0,0,0,0,0,0
